user_id,user_type,first_seen_date,country,lifetime_orders
U00001,new,2025-02-08,SG,0
U00002,returning,2025-11-05,JP,11
U00003,returning,2025-12-20,AU,11
U00004,new,2025-08-14,TH,0
U00005,new,2025-08-29,AU,0
U00006,new,2025-09-09,CA,0
U00007,new,2025-10-22,ZA,0
U00008,returning,2025-11-10,AU,11
U00009,new,2025-01-20,DE,0
U00010,returning,2025-03-28,SG,7
U00011,new,2025-11-18,DE,0
U00012,returning,2025-03-05,IN,3
U00013,returning,2025-05-30,JP,9
U00014,new,2025-12-16,IN,0
U00015,new,2025-12-17,DE,0
U00016,new,2025-11-15,FR,0
U00017,new,2025-09-12,US,0
U00018,new,2025-09-04,TH,0
U00019,new,2025-04-18,CN,0
U00020,new,2025-02-27,AU,0
U00021,new,2025-12-19,IN,0
U00022,new,2025-03-20,SG,0
U00023,new,2025-09-22,CO,0
U00024,new,2025-02-03,AE,0
U00025,new,2025-01-07,MX,0
U00026,returning,2025-03-28,JP,10
U00027,new,2025-06-01,FR,0
U00028,new,2025-09-11,US,0
U00029,new,2025-05-17,AE,0
U00030,new,2025-03-06,GB,0
U00031,new,2025-08-12,IT,0
U00032,new,2025-12-29,JP,0
U00033,new,2025-10-12,CN,0
U00034,returning,2025-01-09,CN,1
U00035,returning,2025-05-30,DE,1
U00036,returning,2025-07-11,TH,11
U00037,new,2025-08-12,CN,0
U00038,new,2025-10-14,AR,0
U00039,returning,2025-09-13,AE,3
U00040,new,2025-07-13,MX,0
U00041,new,2025-11-10,ZA,0
U00042,new,2025-11-15,CN,0
U00043,new,2025-06-21,DE,0
U00044,returning,2025-11-13,IN,9
U00045,new,2025-07-02,CN,0
U00046,returning,2025-07-09,CN,8
U00047,new,2025-02-26,JP,0
U00048,new,2025-08-19,JP,0
U00049,new,2025-12-10,TH,0
U00050,new,2025-05-11,JP,0
U00051,returning,2025-04-02,DE,8
U00052,returning,2025-10-30,ZA,3
U00053,returning,2025-06-22,DE,2
U00054,returning,2025-11-22,CA,8
U00055,new,2025-03-25,SG,0
U00056,returning,2025-08-04,IN,6
U00057,new,2025-02-14,SG,0
U00058,new,2025-02-19,IT,0
U00059,new,2025-06-30,CN,0
U00060,new,2025-03-12,TH,0
U00061,new,2025-09-25,MX,0
U00062,new,2025-01-06,MX,0
U00063,returning,2025-11-27,JP,4
U00064,new,2025-12-09,TH,0
U00065,new,2025-01-28,AE,0
U00066,new,2025-09-07,US,0
U00067,new,2025-08-06,JP,0
U00068,returning,2025-11-22,TH,6
U00069,new,2025-09-04,MX,0
