session_id,user_id,session_start,session_end,session_duration_sec,country,traffic_source,campaign_name,device_category,landing_page,exit_page
S26031415937,U04275,2026-03-14 00:16:43 UTC,2026-03-14 00:25:54 UTC,551,AE,organic,,desktop,/,/404
S26011482564,U02724,2026-01-14 23:00:40 UTC,2026-01-14 23:28:48 UTC,1688,AE,direct,,tablet,/deals,/products
S26031304627,U04347,2026-03-13 09:24:51 UTC,2026-03-13 09:46:47 UTC,1316,AE,organic,,desktop,/,/
S26022785217,U04463,2026-02-27 17:17:18 UTC,2026-02-27 17:32:11 UTC,893,AE,direct,,desktop,/deals,/cart
S26020504784,U01702,2026-02-05 02:36:07 UTC,2026-02-05 02:37:07 UTC,60,AE,direct,,desktop,/new-arrivals,/404
S26022454959,U00197,2026-02-24 14:14:00 UTC,2026-02-24 14:27:08 UTC,788,AE,direct,,desktop,/deals,/products
S26011840973,U04894,2026-01-18 06:59:54 UTC,2026-01-18 07:18:27 UTC,1113,AE,organic,,desktop,/deals,/
S26021023969,U02218,2026-02-10 11:50:57 UTC,2026-02-10 12:14:57 UTC,1440,AE,direct,,mobile,/new-arrivals,/search
S26030904846,U04897,2026-03-09 23:14:34 UTC,2026-03-09 23:36:31 UTC,1317,AE,direct,,mobile,/,/cart
S26021532774,U02593,2026-02-15 03:47:09 UTC,2026-02-15 04:12:51 UTC,1542,AE,organic,,desktop,/accessories,/cart
S26031249876,U03794,2026-03-12 06:55:21 UTC,2026-03-12 07:03:16 UTC,475,AE,direct,,mobile,/new-arrivals,/404
S26031555902,U00913,2026-03-15 08:25:43 UTC,2026-03-15 08:54:00 UTC,1697,AE,direct,,mobile,/accessories,/search
S26031362707,U01132,2026-03-13 17:57:37 UTC,2026-03-13 18:02:39 UTC,302,AE,direct,,desktop,/sale,/
S26011306728,U04502,2026-01-13 23:05:56 UTC,2026-01-13 23:31:17 UTC,1521,AE,organic,,desktop,/deals,/
S26021300381,U00395,2026-02-13 09:28:53 UTC,2026-02-13 09:41:13 UTC,740,AE,organic,,desktop,/new-arrivals,/
S26010309173,U04619,2026-01-03 19:45:53 UTC,2026-01-03 20:06:52 UTC,1259,AE,organic,,desktop,/,/products
S26020585920,U02948,2026-02-05 13:42:32 UTC,2026-02-05 13:55:10 UTC,758,AE,direct,,mobile,/deals,/
S26011683468,U00824,2026-01-16 05:45:52 UTC,2026-01-16 06:13:41 UTC,1669,AE,organic,,tablet,/,/
S26011581997,U03117,2026-01-15 03:22:23 UTC,2026-01-15 03:44:59 UTC,1356,AE,organic,,desktop,/accessories,/products
S26022730459,U04186,2026-02-27 06:57:05 UTC,2026-02-27 07:15:01 UTC,1076,AE,organic,,mobile,/sale,/
S26031782495,U04104,2026-03-17 01:28:42 UTC,2026-03-17 01:36:20 UTC,458,AE,direct,,desktop,/phones,/products
S26031376624,U00484,2026-03-13 18:02:09 UTC,2026-03-13 18:25:14 UTC,1385,AE,direct,,mobile,/new-arrivals,/
S26011409057,U00072,2026-01-14 03:02:12 UTC,2026-01-14 03:27:44 UTC,1532,AE,organic,,desktop,/wearables,/
S26033004926,U00029,2026-03-30 15:28:57 UTC,2026-03-30 15:44:56 UTC,959,AE,direct,,mobile,/new-arrivals,/404
S26021858361,U01556,2026-02-18 23:06:45 UTC,2026-02-18 23:36:26 UTC,1781,AE,direct,,mobile,/deals,/
