session_id,user_id,session_start,session_end,session_duration,country,traffic_source,campaign_name,device_category,landing_page,exit_page
S26011790386,U02660,2026-01-17 18:53:31,2026-01-17 19:10:40,1029s,IN,paid,middle_east_premium,desktop,/new-arrivals,/
S26020707329,U04721,2026-02-07 01:04:00,2026-02-07 01:07:10,190s,South Africa,organic,,mobile,/sale,/search
S26031478944,U00988,2026-03-14 14:13:03,2026-03-14 14:35:49,1366s,mexico,social,valentines_accessories,mobile,/,/cart
S26010470769,U04296,2026-01-04 23:57:41,2026-01-05 00:09:04,11m 23s,Brazil,organic,,mobile,/deals,/products
S26030751495,U00414,2026-03-07 09:41:01,2026-03-07 10:06:29,1528s,US,direct,,mobile,/sale,/cart
S26011544062,U03231,2026-01-15 08:53:38,2026-01-15 08:58:38,5m 0s,DE,direct,,mobile,/sale,/cart
S26020856949,U00697,2026-02-08 16:38:07,2026-02-08 16:55:44,1057s,SG,direct,,desktop,/sale,/404
S26020874885,U01623,2026-02-08 09:09:34,2026-02-08 09:32:19,22m 45s,japan,social,latam_social_push,desktop,/deals,/products
S26012656369,U00587,2026-01-26 20:25:26,2026-01-26 20:52:26,27m 0s,singapore,organic,,desktop,/,/search
S26020524967,U03470,2026-02-05 11:08:07,2026-02-05 11:20:30,12m 23s,US,organic,,desktop,/deals,/cart
S26030257732,U03623,2026-03-02 12:07:10,2026-03-02 12:12:38,5m 28s,JP,organic,,desktop,/new-arrivals,/products
S26011107148,U00703,2026-01-11 21:50:42,2026-01-11 22:16:26,25m 44s,china,direct,,desktop,/new-arrivals,/
S26032039992,U02813,2026-03-20 02:06:36,2026-03-20 02:10:53,4m 17s,CA,social,influencer_sea_q1,desktop,/deals,/404
S26012068585,U01736,2026-01-20 18:53:29,2026-01-20 19:12:38,1149s,china,direct,,mobile,/wearables,/products
S26022669048,U00151,2026-02-26 14:29:59,2026-02-26 14:53:07,23m 8s,IT,social,latam_social_push,mobile,/new-arrivals,/products
S26010685820,U02223,2026-01-06 03:41:51,2026-01-06 03:58:13,982s,GB,organic,,tablet,/new-arrivals,/cart
S26010285119,U00884,2026-01-02 20:27:20,2026-01-02 20:37:49,10m 29s,Chile,direct,,mobile,/,/cart
S26022124434,U03971,2026-02-21 14:37:33,2026-02-21 14:41:03,3m 30s,united kingdom,social,influencer_sea_q1,desktop,/,/
S26022143721,U02027,2026-02-21 09:37:37,2026-02-21 09:48:31,10m 54s,United States,direct,,desktop,/new-arrivals,/cart
S26013065700,U02912,2026-01-30 08:28:16,2026-01-30 08:36:49,8m 33s,SG,social,influencer_sea_q1,desktop,/sale,/
S26012819884,U04547,2026-01-28 04:53:56,2026-01-28 05:02:07,8m 11s,united kingdom,direct,,desktop,/,/search
S26030781988,U04266,2026-03-07 19:50:33,2026-03-07 20:11:57,1284s,united states,organic,,mobile,/phones,/products
S26033043160,U03494,2026-03-30 07:50:13,2026-03-30 08:11:22,21m 9s,MX,social,latam_social_push,mobile,/deals,/404
S26030826517,U04435,2026-03-08 09:56:55,2026-03-08 10:24:43,1668s,Italy,organic,,desktop,/deals,/search
S26030520715,U01190,2026-03-05 17:07:50,2026-03-05 17:27:36,19m 46s,GB,direct,,tablet,/new-arrivals,/products
S26032753903,U00242,2026-03-27 10:51:21,2026-03-27 11:05:58,14m 37s,singapore,social,latam_social_push,mobile,/deals,/products
S26011303433,U00875,2026-01-13 18:31:26,2026-01-13 18:38:14,408s,singapore,direct,,desktop,/new-arrivals,/404
S26012330432,U04646,2026-01-23 10:03:44,2026-01-23 10:24:35,20m 51s,IN,social,influencer_sea_q1,mobile,/,/search
S26032461441,U01099,2026-03-24 03:38:41,2026-03-24 03:59:49,1268s,germany,paid,retargeting_global,mobile,/sale,/search
S26011629658,U03882,2026-01-16 21:38:59,2026-01-16 21:46:04,7m 5s,SG,social,valentines_accessories,desktop,/sale,/products
S26010757577,U01662,2026-01-07 10:06:31,2026-01-07 10:13:03,392s,Singapore,paid,new_year_gadgets,desktop,/sale,/products
S26031779682,U03503,2026-03-17 08:42:41,2026-03-17 08:44:36,115s,Italy,paid,middle_east_premium,desktop,/sale,/404
S26022768843,U04686,2026-02-27 15:40:04,2026-02-27 15:58:52,1128s,singapore,organic,,mobile,/audio,/
S26032232207,U03700,2026-03-22 07:04:23,2026-03-22 07:06:19,1m 56s,China,social,latam_social_push,mobile,/audio,/search
S26010538165,U04229,2026-01-05 18:52:00,2026-01-05 18:58:58,6m 58s,Thailand,social,influencer_sea_q1,mobile,/sale,/products
S26012907149,U03461,2026-01-29 14:02:51,2026-01-29 14:24:16,1285s,AR,direct,,mobile,/sale,/
S26011876735,U04102,2026-01-18 10:53:51,2026-01-18 11:20:55,1624s,south africa,social,valentines_accessories,desktop,/deals,/search
S26021323445,U03388,2026-02-13 18:38:24,2026-02-13 18:39:45,1m 21s,thailand,email,tech_tuesday_email,desktop,/sale,/
S26020185010,U02049,2026-02-01 11:08:56,2026-02-01 11:33:02,1446s,Germany,organic,,desktop,/,/
S26030311181,U03682,2026-03-03 13:29:44,2026-03-03 13:42:37,12m 53s,South Africa,organic,,tablet,/accessories,/products
S26020622398,U03103,2026-02-06 22:52:43,2026-02-06 22:54:42,119s,thailand,social,influencer_sea_q1,mobile,/deals,/products
S26010540378,U01466,2026-01-05 23:33:43,2026-01-05 23:48:32,14m 49s,united states,social,influencer_sea_q1,mobile,/deals,/
S26012081600,U01078,2026-01-20 16:40:43,2026-01-20 16:41:20,37s,JP,organic,,mobile,/sale,/search
S26030131179,U04453,2026-03-01 00:42:18,2026-03-01 00:59:38,17m 20s,united kingdom,social,valentines_accessories,desktop,/sale,/search
S26022832075,U00651,2026-02-28 06:20:21,2026-02-28 06:21:04,43s,United Arab Emirates,social,influencer_sea_q1,desktop,/accessories,/products
S26011807217,U00401,2026-01-18 22:42:30,2026-01-18 22:48:03,333s,FR,organic,,desktop,/,/404
S26020206426,U04943,2026-02-02 03:32:41,2026-02-02 03:36:10,3m 29s,United States,paid,asia_pacific_launch,mobile,/new-arrivals,/404
S26022573685,U04874,2026-02-25 13:30:54,2026-02-25 13:58:16,27m 22s,Deutschland,direct,,desktop,/new-arrivals,/
S26020149668,U00763,2026-02-01 08:13:45,2026-02-01 08:26:49,784s,Colombia,social,latam_social_push,mobile,/,/cart
S26011491045,U03857,2026-01-14 01:30:51,2026-01-14 01:35:30,279s,France,organic,,desktop,/sale,/404
S26030114326,U01720,2026-03-01 10:11:18,2026-03-01 10:13:47,2m 29s,italy,email,tech_tuesday_email,mobile,/,/search
S26021141482,U04955,2026-02-11 11:06:25,2026-02-11 11:27:41,21m 16s,germany,email,tech_tuesday_email,desktop,/phones,/404
S26031265239,U04067,2026-03-12 19:07:24,2026-03-12 19:29:28,22m 4s,FR,social,influencer_sea_q1,desktop,/deals,/cart
S26011260933,U01586,2026-01-12 11:26:33,2026-01-12 11:27:52,79s,SG,paid,spring_sale_2026,mobile,/phones,/search
S26020273454,U03392,2026-02-02 09:47:32,2026-02-02 09:59:58,746s,CA,paid,spring_sale_2026,desktop,/deals,/cart
S26013066412,U02085,2026-01-30 21:09:43,2026-01-30 21:20:27,10m 44s,IN,paid,spring_sale_2026,desktop,/new-arrivals,/cart
S26022503816,U03245,2026-02-25 05:40:59,2026-02-25 06:02:30,1291s,TH,social,influencer_sea_q1,mobile,/new-arrivals,/search
S26031984626,U03888,2026-03-19 09:44:14,2026-03-19 09:45:56,1m 42s,IN,organic,,desktop,/wearables,/cart
S26031854257,U03789,2026-03-18 02:49:36,2026-03-18 03:17:53,1697s,CA,organic,,mobile,/new-arrivals,/404
S26022302453,U02585,2026-02-23 21:39:23,2026-02-23 21:58:10,18m 47s,japan,organic,,mobile,/new-arrivals,/
S26012804085,U01224,2026-01-28 05:31:09,2026-01-28 06:00:20,29m 11s,Thailand,organic,,desktop,/deals,/404
S26020778012,U04962,2026-02-07 19:45:18,2026-02-07 19:52:11,6m 53s,China,direct,,mobile,/,/cart
S26010931148,U03391,2026-01-09 10:15:12,2026-01-09 10:32:39,17m 27s,China,organic,,mobile,/phones,/cart
S26020604901,U01434,2026-02-06 07:59:08,2026-02-06 08:26:25,1637s,JP,paid,spring_sale_2026,mobile,/wearables,/
S26011544579,U03954,2026-01-15 23:01:38,2026-01-15 23:08:37,419s,china,social,influencer_sea_q1,mobile,/new-arrivals,/cart
S26032188698,U01174,2026-03-21 19:43:17,2026-03-21 20:01:24,1087s,AU,email,tech_tuesday_email,desktop,/sale,/search
S26010105771,U04280,2026-01-01 09:34:36,2026-01-01 09:45:42,666s,canada,social,valentines_accessories,mobile,/new-arrivals,/search
